Demand ID,Role Status,Region,Project Name,Project Type,Demand Received Date,Track,Location Shore,Primary Skill (Must have),Grade,Role Start Date,Role End Date,Number of FTE
8475,Open,AMEA,"Mullins, Green and Davis",CEMS,2024-11-07,FIN,Offshore,Core HR & Payroll,G8,2025-08-17,2026-11-27,0.7
9212,Staffed,EUK,Brandt-Oliver,Impl,2024-11-29,FIN,Offshore,Core HR & Payroll,G10,2025-07-12,2026-07-16,0.8
7718,Staffed,EUK,"Griffin, Brown and Simpson",Impl,2024-06-30,HCM,Offshore,Redwood HCM - Core HR and ORC,T2,2025-11-04,2025-12-25,0.8
5976,Open,EUK,Smith-Washington,CEMS,2024-05-23,FIN,Onsite,Redwood HCM - Core HR and ORC,G6,2025-01-08,2026-05-27,0.8
1985,Open,EUK,Bentley-Clark,CEMS,2024-11-06,HCM,Onsite,Onboarding Journeys,T2,2025-11-10,2026-02-25,0.7
4007,Staffed,AMEA,Soto Ltd,CEMS,2024-08-30,HCM,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G6,2025-12-07,2026-11-09,0.8
7113,Open,EUK,"Blake, Mayer and Goodwin",Impl,2024-05-17,FIN,Onsite,Core HR & Payroll,G8,2025-03-28,2026-10-19,0.6
5061,Staffed,NA,Giles-Lewis,CEMS,2024-10-31,FIN,Onsite,Onboarding Journeys,G5,2025-08-26,2026-07-20,0.7
5764,Staffed,AMEA,Hurley-Garcia,CEMS,2024-02-07,HCM,Offshore,Onboarding Journeys,T2,2025-07-30,2026-12-06,0.5
9182,Open,EUK,Edwards-Davila,Impl,2024-07-27,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-01-25,2026-02-18,0.5
1554,Staffed,EUK,Hoffman-Boyd,CEMS,2024-01-22,FIN,Onsite,Onboarding Journeys,T2,2025-07-16,2026-05-19,0.7
2388,Open,NA,"Curtis, Riley and Bradshaw",CEMS,2024-12-08,FIN,Onsite,Onboarding Journeys,G8,2025-10-21,2026-04-11,0.9
5005,Open,EUK,Anderson-Sosa,Impl,2024-11-03,FIN,Offshore,Redwood HCM - Core HR and ORC,T2,2025-01-13,2026-06-28,0.6
8700,Staffed,EUK,"Russo, Johnson and Wright",CEMS,2024-07-21,HCM,Onsite,Redwood HCM - Core HR and ORC,T2,2025-06-08,2026-05-05,0.6
5834,Staffed,AMEA,Reynolds-Fritz,CEMS,2024-02-25,HCM,Offshore,Onboarding Journeys,G5,2025-08-28,2026-07-21,0.9
2500,Open,NA,Anderson PLC,Impl,2024-01-30,FIN,Offshore,Onboarding Journeys,G10,2025-10-03,2026-04-04,0.5
7657,Staffed,AMEA,Smith-Sanchez,Impl,2024-05-23,HCM,Onsite,Onboarding Journeys,T2,2025-02-21,2025-12-18,0.7
9762,Staffed,AMEA,Gonzalez Ltd,CEMS,2024-11-16,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-06-09,2026-09-01,0.9
8090,Open,NA,Kennedy and Sons,Impl,2024-08-14,HCM,Offshore,Onboarding Journeys,G6,2025-05-27,2026-08-31,0.9
2001,Open,NA,"Heath, Bell and Coleman",Impl,2024-10-31,FIN,Offshore,Onboarding Journeys,G8,2025-11-20,2026-10-30,0.7
3669,Staffed,NA,"Johnson, Huynh and Gaines",CEMS,2024-02-19,HCM,Onsite,Redwood HCM - Core HR and ORC,G10,2025-10-04,2026-08-06,0.5
9233,Staffed,AMEA,Carter Inc,Impl,2024-03-17,HCM,Onsite,Redwood HCM - Core HR and ORC,G10,2025-07-03,2026-09-25,0.7
8095,Open,AMEA,Shaw and Sons,CEMS,2024-01-20,HCM,Offshore,Onboarding Journeys,T2,2025-07-19,2026-09-08,0.5
5352,Staffed,AMEA,Miller and Sons,Impl,2024-05-28,HCM,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G5,2025-08-07,2026-10-18,0.6
6596,Open,AMEA,Hall-Cross,Impl,2024-06-23,FIN,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G10,2025-07-15,2026-04-06,0.8
4281,Open,AMEA,Hines LLC,Impl,2024-01-22,FIN,Onsite,Onboarding Journeys,T2,2025-07-18,2026-04-27,0.7
2888,Staffed,AMEA,Moses-Smith,Impl,2024-06-28,HCM,Offshore,Redwood HCM - Core HR and ORC,G5,2025-02-24,2026-07-01,1.0
7172,Open,EUK,Jones Ltd,Impl,2024-06-05,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-06-15,2026-07-28,0.6
3380,Staffed,NA,"Davidson, Kelley and Riley",CEMS,2024-10-29,HCM,Onsite,"Core HR,Talent",G5,2025-10-09,2026-04-09,0.7
1179,Staffed,EUK,Bishop-Chapman,CEMS,2024-11-04,FIN,Onsite,Redwood HCM - Core HR and ORC,G6,2025-10-09,2026-02-19,0.6
8485,Staffed,AMEA,Brandt PLC,CEMS,2024-02-04,FIN,Offshore,Redwood HCM - Core HR and ORC,G6,2025-02-04,2025-12-16,0.6
9041,Open,EUK,Stokes-Olson,Impl,2024-03-01,HCM,Offshore,Redwood HCM - Core HR and ORC,G10,2024-12-15,2026-12-04,0.7
5931,Staffed,NA,Gonzales PLC,Impl,2024-02-02,HCM,Onsite,Core HR & Payroll,G10,2025-09-18,2025-12-24,0.8
5229,Staffed,NA,Griffin-Caldwell,Impl,2024-10-15,FIN,Offshore,Onboarding Journeys,G5,2025-12-14,2026-10-26,0.7
8941,Open,NA,Pope Inc,CEMS,2024-04-26,HCM,Onsite,Onboarding Journeys,G8,2025-07-12,2026-11-08,0.9
6313,Staffed,EUK,Tate and Sons,CEMS,2024-08-23,HCM,Offshore,"Core HR,Talent",G8,2025-03-14,2026-11-18,0.6
2498,Staffed,EUK,"White, Martin and Ray",CEMS,2024-04-02,HCM,Onsite,Redwood HCM - Core HR and ORC,G10,2025-05-03,2026-11-28,0.9
9737,Open,EUK,"Perez, Newman and Salinas",Impl,2024-04-19,HCM,Offshore,Core HR & Payroll,G5,2025-10-23,2025-12-15,0.6
3876,Open,NA,Brown-Reed,CEMS,2024-01-25,FIN,Onsite,Core HR & Payroll,G8,2025-04-01,2026-06-29,0.8
3087,Open,EUK,"Nash, Smith and Wagner",Impl,2024-08-28,HCM,Onsite,Onboarding Journeys,G5,2025-03-29,2026-09-30,0.7
9125,Staffed,EUK,"Griffin, Collins and Obrien",Impl,2024-01-26,FIN,Onsite,Core HR & Payroll,T2,2025-09-09,2026-01-10,0.8
8128,Staffed,AMEA,White-Schmitt,CEMS,2024-10-30,FIN,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G6,2025-06-10,2026-03-15,0.6
9712,Staffed,AMEA,Lawson-Sherman,Impl,2023-12-30,HCM,Onsite,"Core HR,Talent",T2,2025-12-07,2026-09-22,0.9
9301,Staffed,NA,Lopez Ltd,CEMS,2024-11-28,HCM,Onsite,Onboarding Journeys,G10,2025-02-14,2026-07-29,0.6
8017,Open,AMEA,Ferrell and Sons,CEMS,2024-06-17,FIN,Onsite,"Core HR,Talent",G10,2025-06-21,2026-06-06,0.9
4600,Staffed,EUK,Martinez Ltd,Impl,2024-05-04,FIN,Offshore,"Core HR,Talent",T2,2025-01-25,2026-02-24,1.0
1599,Staffed,EUK,"Conley, Mccoy and Williams",Impl,2024-07-15,HCM,Offshore,Core HR & Payroll,G5,2025-01-22,2026-04-21,0.8
9410,Staffed,AMEA,"Moore, Smith and Johnson",Impl,2024-05-27,FIN,Onsite,Redwood HCM - Core HR and ORC,T2,2025-11-01,2026-05-12,1.0
2588,Staffed,AMEA,"Lee, Lam and Mason",Impl,2024-08-22,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-04-05,2026-04-02,0.7
9103,Open,AMEA,Massey-Brown,Impl,2024-07-07,HCM,Onsite,"Core HR,Talent",G6,2025-04-01,2026-02-16,0.9
3943,Open,EUK,Olson Group,Impl,2024-09-09,FIN,Onsite,Onboarding Journeys,G8,2025-08-08,2026-05-04,0.9
6188,Staffed,NA,"Ibarra, Mcguire and Wells",Impl,2024-12-11,FIN,Offshore,Redwood HCM - Core HR and ORC,G5,2025-10-19,2026-10-21,0.8
3958,Open,NA,Robinson-Wilson,CEMS,2024-06-08,HCM,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G10,2025-11-13,2026-09-16,0.6
8346,Staffed,NA,Miller-Phelps,CEMS,2024-06-10,FIN,Onsite,Core HR & Payroll,G8,2024-12-25,2026-04-16,0.6
1002,Staffed,AMEA,Lucas Inc,Impl,2024-07-03,HCM,Offshore,Redwood HCM - Core HR and ORC,G8,2025-11-05,2026-03-25,0.8
